Address,Cost_Electric,GSF,Reading_Total_Electric,building_id,latitude,longitude
"Ross School of Business (aka Ross, RSB) - 5188",498717.32999999996,292008.0,4336672.0,5188,42.2727776,-83.737529
Ross Stephen M Academic Center - 5120,71335.88,45356.0,620312.0,5120,42.2684925,-83.7410392
Ruthven (aka Ruthven Administration) - 0193,127753.96,152530.0,1110904.0,0193,42.2783824,-83.73444119999999
S Main Ortho - Huron Valley Professional - 8112,26266.440000000002,9020.0,157441.66,8112,42.255575,-83.7507345
S8 Hill Parking Structure - 0253,34560.75,151175.0,300528.0,0253,42.2722312,-83.7371591
SOUTH HOUSE - 5599,509.62,2400.0,2756.0,5599,43.0640598,-102.5682263
Saginaw Forest Residence Complex - 3541,1064.3300000000002,1249.0,4798.96,3541,42.2703128,-83.8069792
Saline Health Center - 8121,29962.940000000002,8924.0,163676.03,8121,42.1841534,-83.7823872
Salt Storage Building - 0268,5583.85,2385.0,23890.519999999997,0268,42.2855818,-83.73757169999999
Schembechler Glenn E Hall - 0705,195502.41500000004,91057.0,1700021.0,0705,42.2676856,-83.7409971
School of Education (aka Marsal Family School of Education) - 0221,489686.39,214981.0,4014121.7299999995,0221,42.273571,-83.7364037
School of Information North (aka SIN) - 0420,156633.36,30930.0,1362029.23,0420,42.2889531,-83.7144264
"School of Kinesiology (aka Natural Sciences Building, Nat Sci, Kraus) - 0211",317548.11,228460.0,2761288.0,0211,42.2781689,-83.73892699999999
School of Nursing (New Building) (aka 426 N Ingalls) - 5347,94403.95000000001,80322.0,820904.0,5347,42.2850942,-83.73855669999999
"School of Nursing (Old Building) (aka 400 N Ingalls, NIB) - 0333",161835.77000000002,142005.0,1594078.08,0333,42.28399890000001,-83.7377703
"School of Public Health I (aka SPH1, Henry Vaughan) - 0204",529652.5,210800.0,4605674.0,0204,42.2808145,-83.7303297
"School of Public Health II (aka SPH 2, Thomas Francis) - 0234",212529.31,171543.0,1848081.0,0234,42.2802247,-83.7300132
School of Social Work (aka SSW) - 0219,245380.71999999997,143675.0,2133745.2700000005,0219,42.2746694,-83.7364652
Seismograph Station - 0999,267.39,576.0,274.5,0999,42.31837489999999,-83.6614045
"Shapiro Library (aka UGLi, Undergraduate Library) - 0227",234671.69,175894.0,2040623.0,0227,42.27561499999999,-83.7371826
Shared Services Center - 5288,112296.7,52682.0,692666.11,5288,42.2387603,-83.7320408
Sheep Research Facility Complex - 0942,14013.3,13048.0,72917.3,0942,42.29090799999999,-83.656989
Shepherd Womens Gymnastic - 5077,36922.88,22837.0,228093.15999999997,5077,42.252546,-83.7420124
Simpson - 0212,21428.63,17769.0,186336.0,0212,42.281894,-83.7311148
South Quad (aka SQ) - 0063,512609.52999999997,371519.0,4457474.0,0063,42.2736688,-83.7421033
Stamps Auditorium - 5224,13039.04,13488.0,113383.0,5224,42.2919196,-83.71749969999999
Stearns Building - 0445,15712.57,18261.0,90291.73000000001,0445,42.2953942,-83.7260005
Stinchfield Woods Complex - 3410,1765.0700000000002,11934.0,7793.47,3410,42.4082497,-83.91996639999999
Stockwell Hall - 0064,101574.56,145204.0,883257.0,0064,42.2787978,-83.73146849999999
Student Activities Building (aka SAB) - 0215,219981.90000000002,119626.0,1912886.0,0215,42.27672949999999,-83.7425712
Survival Flight Helicopter Hanger - 8036,12480.93,26272.0,61720.369999999995,8036,42.225632,-83.7445461
Tappan Hall - 0216,45737.8,37576.0,397720.0,0216,42.2755455,-83.7392696
Taubman (aka THC) - 0317,581821.04,410082.0,6712840.0,0317,42.2853456,-83.73104169999999
"Taubman Library (aka THSL, Taub Lib) - 0209",151576.88,143973.0,1318059.67,0209,42.2834941,-83.7343702
Tisch Tennis Bldg - 0738,89395.11,89026.0,575227.4299999999,0738,42.2535144,-83.7434267
"Towsley (aka Towsley, CEC) - 0313",57397.54,52332.0,499109.0,0313,42.2820308,-83.72823989999999
Towsley Children's House - 5240,42512.87000000001,25428.0,264981.26,5240,42.27340820000001,-83.73359239999999
Transportation Services Building - 0808,38219.229999999996,40633.0,332341.0,0808,42.2665237,-83.7448435
Traverwood 1 - Turner Senior Resource - 8162,25846.61,17086.0,125848.47,8162,42.3019927,-83.7137103
Trotter Multicultural Center - 5413,23984.18,20719.0,208558.0,5413,42.2770601,-83.7411132
"U-M Museum of Art (aka UMMA, Memorial Hall) - 0151",291044.88,99304.0,2530825.0,0151,42.2754052,-83.7400012
UH South 1 (aka Old Women's) - 0309,28370.5,67494.0,246700.0,0309,42.2827184,-83.7294416
UM Transportation Research Institute (aka UMTRI) - 0444,87161.965,81529.0,757930.0,0444,42.297728,-83.703023
Undergraduate Science Building (aka USB) - 5046,282351.3400000001,141749.0,2455229.0,5046,42.2798988,-83.73530579999999
University Hospital (aka UH) - 0316,6016058.02,1721070.0,69190016.0,0316,42.2827172,-83.7267932
University Hospital Education Center (aka UHEC) - 0327,8020.680000000001,8349.0,39810.399999999994,0327,42.2854418,-83.73672289999999
Victor Vaughan (aka VV) - 0065,30705.93,51518.0,267008.0,0065,42.2836793,-83.7350565
W3 Thompson Parking Structure - 0255,72614.09999999999,365996.0,594624.0,0255,42.2754613,-83.74362239999999
Walgreen Drama Center - 5059,133379.9,84149.0,1159824.98,5059,42.2919196,-83.71749969999999
Wallace House - 8067,2932.34,7863.0,14012.64,8067,42.2746001,-83.72643029999999
Weidenbach Hall - 0731,25791.599999999995,23229.0,224275.0,0731,42.2694294,-83.7414378
"Weill Hall (aka Gerald R. Ford School of Public Policy, Joan & Sanford) - 5101",113438.97,97989.0,986426.0,5101,42.27229759999999,-83.7403873
Weiser Hall (aka Dennison) - 0165,125138.29,145518.0,1088159.0,0165,42.2768901,-83.734888
West Ann Arbor Health Center Parkland PLZ - 5388,162906.24,75260.0,1297489.3800000001,5388,42.2797369,-83.8151056
West Hall - 0167,194114.04,166528.0,1687948.0,0167,42.2757341,-83.73621589999999
West Quad (aka WQ) - 0066,277837.25,386265.0,2415976.0,0066,42.2748013,-83.7428968
West Shore Urology - 5428,14652.730000000001,10727.0,72217.0,5428,43.2070064,-86.21251339999999
Willow Run Complex - 2201,10788.630000000001,18570.0,58328.0,2201,42.2424402,-83.49968919999999
Wolverine Tower (aka WoTo) - 8090,317900.51,224981.0,2287194.0,8090,42.243225,-83.73724059999999
Wyly Hall - 0135,93062.93499999998,82855.0,809243.0,0135,42.2724266,-83.7360334
Yost Ice Arena - 0709,268334.78500000003,124755.0,2333346.0,0709,42.2675741,-83.7410082
Ypsi Kellogg - River Place Offices - 5340,30964.0,7124.0,191528.31,5340,42.2593423,-83.64476909999999
